"GeneID","logFC","logCPM","F","PValue","FDR"
"AT5G15960",-4.76209016820048,8.54068114281421,83.3351048160971,7.03361291100554e-20,2.02392211514184e-15
"AT5G52310",-2.74694904428317,9.7096884979482,43.6087902121728,4.02768713305826e-11,1.71258206982752e-07
"AT5G52300",-2.89665160435908,8.66083574537793,40.855505672396,1.64534913744664e-10,4.77730357690789e-07
"AT1G61800",-4.38122783998577,6.61650077749698,38.8287067211626,4.64268130368394e-10,1.21448322285005e-06
"AT5G06760",-2.62267136546716,9.35682879823425,36.9272836380695,2.24592252836777e-09,4.97126313490635e-06
"AT5G66400",-2.30904104603574,11.3779133053164,35.8134510704445,3.8546026488308e-09,7.92258508715045e-06
"AT5G59310",-2.30242885808359,10.2083373711812,33.811177898637,6.08887146955445e-09,1.16804851024286e-05
"AT2G40170",-3.52495398704551,6.83136657337186,32.6697944672182,1.09490208062773e-08,1.85328278647429e-05
"AT2G42560",-4.07215139838323,6.28788104634,31.0774878497157,2.4848391498372e-08,3.80680764626058e-05
"AT1G52690",-2.15080588671183,10.6177538095707,30.9004737218141,2.82643205896015e-08,3.88263140334785e-05
"AT2G47770",-2.96910841907927,7.23574810937054,29.6906967582422,5.09252117024093e-08,6.37118681189925e-05
"AT1G16850",-4.41231219230049,6.04849408742427,29.5193008499461,5.54745121008513e-08,6.65116285709165e-05
"AT1G20450",-2.19747153286219,9.54207290749557,28.7082654400832,8.4304937865019e-08,8.98472069283674e-05
"AT1G77120",-2.95226426350981,6.93506733134173,27.1345683299639,1.90099762775842e-07,0.00016088590217279
"AT5G48180",-2.0964380356254,9.45361945469897,26.1949302675853,3.09126646006063e-07,0.000254146263966414
"AT1G26770",-2.60136443066264,7.42247458417953,26.0046784245507,3.41129524216791e-07,0.000272666723870504
"AT3G02480",-1.86524632862229,11.0972144362973,24.2660349422654,9.74877040166583e-07,0.000667906829304606
"AT5G66780",-5.08594625709692,5.42480027762713,23.7463594145783,1.10048908616998e-06,0.000719694851239574
"AT3G57010",-2.86432859846019,6.76153110975376,23.2429051553626,1.42958000159781e-06,0.000914136989910601
"AT2G34810",-2.54296050351846,7.21892175619936,22.9344853327529,1.67825621117249e-06,0.00104982222774975
"AT4G01985",-4.98368192485214,5.38783564813666,21.7969451438669,3.05041201901389e-06,0.001671567858283
"AT1G65500",-1.88860819259235,9.02270960981742,20.5063326341526,5.94938010831763e-06,0.00271735575582285
"AT2G41190",-2.12000079036276,7.77588628233633,19.8041496889328,8.59227070377361e-06,0.00348228999297304
"AT4G02380",-1.80533375177923,9.32237511270385,19.5612100168558,9.75164988860011e-06,0.00384388665129408
"AT2G16660",-2.84628587266943,6.30840601067252,19.341358023525,1.09410711102713e-05,0.00425445028646021
"AT2G37870",-2.37387220397235,6.92639145877075,19.0390155293823,1.28184136488666e-05,0.00491799803661513
"AT2G33380",-1.97828926491023,8.03922708490023,18.774999478185,1.4745993289218e-05,0.00531000873794049
"AT5G59220",-2.49632669619858,6.75074247549482,18.710657358337,1.52457620784098e-05,0.00541600992353384
"AT5G05220",-4.1213679624254,5.35605053431767,18.0733068420562,2.12727812922807e-05,0.00728719382958782
"AT1G49450",-3.01147847476101,5.99534287040605,18.0262450012343,2.18050948687157e-05,0.00738166593937992
"AT3G50970",-2.02744362455173,7.62417925974194,17.8257702914166,2.42267752633427e-05,0.00810610997910101
"AT1G43160",-2.94996721010556,6.06612856675405,17.7659911649448,2.49999111091809e-05,0.00826864876053656
"AT2G38530",-1.64378618403258,9.84041153045691,17.4305454872241,2.98217355310445e-05,0.00929900391023681
"AT4G33540",-2.40134594166395,6.66344642982676,17.1054700518938,3.53853696616922e-05,0.0104970516702597
"AT3G22840",-2.26369726442628,6.90162153789238,16.2118555377422,5.66959569314027e-05,0.0155373920066773
"AT4G15910",-2.03578599054276,7.27106228590542,15.9055029193257,6.66259414054264e-05,0.017917396859263
"AT5G11740",-1.50343982288086,10.6239328813281,15.780871274948,7.11611642383136e-05,0.0189598379718284
"AT2G37770",-2.42831512765249,6.34037658374114,15.6188812379348,7.75232952990047e-05,0.0202540800626302
"AT1G56660",-3.40899329581142,5.45817616492833,15.6041280440723,7.81304217880784e-05,0.0202540800626302
"AT4G39210",-2.45782663614302,6.46264528591351,15.5164289512207,8.18394719189411e-05,0.0208400956147569
"AT3G17520",-2.36685497063526,6.36632055955586,15.2056107743133,9.64711890207639e-05,0.0241387692528042
"AT3G23920",-1.57435859399437,9.28204342573941,15.1790076255905,9.78397209901705e-05,0.0242701549266565
"AT3G18830",-2.21675025950747,6.81087213547893,14.9740184583718,0.000109394321573736,0.0258820668512338
"AT1G02850",-1.77581165923915,7.94753820318436,14.9624115315528,0.000109734566667264,0.0258820668512338
"AT3G15670",-2.16700086177006,6.62860475776368,14.2660558139771,0.00015878095799083,0.0340964333297472
"AT1G10490",-4.43680849963892,4.9034795790933,13.9818410845712,0.000184674128658908,0.038783208215453
"AT2G39030",-3.44178017197304,5.31496696717306,13.9090488850365,0.00019196446848653,0.0394555541478564
"AT2G43620",-1.48947068378212,9.37749545465578,13.7622807571382,0.000207557548596845,0.041824872445825
"AT5G66760",-1.99966612769792,7.04797422577637,13.7596125516513,0.000207852537263353,0.041824872445825
"AT1G01480",-3.7913864220355,5.11154907856094,13.7222142005161,0.000212031917325893,0.0423695723684206
